4	愛	男女の愛
5	愛	（若い）二人は愛し合っている
6	愛	愛し合っている
7	愛	彼を愛する
8	愛	母に愛される
9	愛	みんなに愛される
32	アイロン	服にアイロンをかける
43	青い	青い空
44	青い	青くなる
52	赤い	赤い花
59	上がる	旗があがる
60	上がる	階段をあがる
61	上がる	二階にエレベーターであがる
62	上がる	体温があがる
63	上がる	花火があがる
64	上がる	船からあがる
65	上がる	スポーツで名があがる
66	上がる	部屋にあがる
67	上がる	成績があがる
68	上がる	土地の値段があがる
69	上がる	給料があがる
70	上がる	会社での地位があがる
71	上がる	腕があがる
72	上がる	雨があがる
73	上がる	あがる
74	上がる	証拠があがる
75	上がる	風呂からあがる
76	上がる	学校にあがる
77	上がる	試験であがる
78	上がる	書きあがる
84	秋	読書の秋
106	開ける	戸を開ける
107	開ける	ドアを開ける
108	開ける	ふたを開ける
109	開ける	きりで穴を開ける
110	開ける	地面に穴を開ける
136	朝	明日の朝
138	浅い	浅い
139	浅い	浅い箱
140	浅い	経験が浅い
141	浅い	浅い緑
163	アジア	アジア
166	明日	あしたは雨です
176	アスパラガス	アスパラガス
188	遊ぶ	一人で遊ぶ
189	遊ぶ	土地が遊んでいる
190	与える	賞状を与える
191	与える	仕事を与えてやる
192	与える	彼にお金を与える
193	与える	彼に仕事を与える
202	頭	頭が痛い
203	頭	頭を刈る
204	頭	息子は頭がいい
205	頭	頭から読む
206	頭	妻に頭があがらない
207	頭	母には頭がさがる
208	頭	頭に来る
215	新しい	新しいビル
233	厚い	厚い本
234	厚い	厚い化粧
236	熱い	熱い風呂
237	熱い	彼に熱い思いを寄せる
274	穴	壁の穴をふさぐ
275	穴	道に穴があく
276	穴	穴があったら入りたい
277	穴	穴を埋める
278	穴	芝居に穴があく
281	あなた	あなた
296	油	テンプラの油
297	油	先生に油を絞られる
299	アフリカ	アフリカ生まれ
306	甘い	甘いお菓子
307	甘い	甘い香り
308	甘い	子供に甘い
309	甘い	考えが甘い
319	網	網
324	雨	雨が降る
325	雨	雨が止む
326	雨	夕方に雨がポツポツ降ってきた
327	雨	昨日は大雨
328	雨	冷たい小雨が降る
329	雨	にわか雨が降る
346	洗う	手をきれいに洗う
347	洗う	過去を洗う
348	洗う	やくざから足を洗う
349	嵐	夜、嵐になる
350	嵐	嵐のような拍手
378	歩く	道を歩く
379	歩く	ぶらぶら歩く
380	アルコール	アルコール
381	アルコール	アルコールで消毒
385	あれ	あれは何ですか
417	胃	胃の検査
420	良い	いい考え
421	いいえ	いいえ、嫌いです
422	いいえ	いいえ５です
431	言う	言う必要はない
432	言う	いつも言っている
433	言う	彼に言いたい
434	言う	弟にガミガミ言う
435	言う	ガミガミ言われる
436	言う	言う必要はない
437	言う	いろいろ言われた
464	生きる	生きる
465	生きる	海に生きる
466	生きる	生きた手話
467	行く	遊びに行く
468	行く	東京へ行く
469	行く	わざわざ出向いて行く
470	行く	嫁に行く
471	行く	合点がいく
472	行く	そうは行かない
473	行く	それで行こう
474	行く	最後まで読んでいく
481	池	深い池
498	石	石
522	椅子	長椅子
523	椅子	椅子から立つ
528	忙しい	仕事が忙しい
530	痛い	目が痛い
531	痛い	ズキズキ痛い
532	痛い	キリキリ痛い
558	一月	一月三日
565	イチジク	イチジクのジャム
568	一日	一日二十四時間
